game_id,game_duration,wins,first_blood,first_tower,first_baron,first_dragon,first_inhibitor,dragon_kills,baron_kills,tower_kills,inhibitor_kills,ward_placed,wardkills,kills,death,assist,champion_damage_dealt,total_gold,total_minion_kills,total_level,avg_level,jungle_minion_kills,killing_spree,total_heal,object_damage_dealt
4204364829,1199,1,0,1,0,0,1,0,0,4,1,0,0,49,49,117,126436,63634,228,89,17.8,0,10,50193,8739
4076962848,1176,1,0,1,0,1,1,2,0,10,2,48,10,24,12,32,47527,42854,504,57,11.4,108,7,17348,50387
4115760187,1146,1,1,1,0,1,1,2,0,9,1,32,9,26,16,31,52552,41960,443,58,11.6,120,8,15586,42888
3995698248,1167,0,1,0,0,1,0,1,0,1,0,22,2,11,23,11,27456,28112,279,48,9.6,81,2,7388,11535
4124148820,2283,0,0,1,0,0,1,3,0,7,1,153,78,26,30,39,91356,67876,901,81,16.2,220,8,49663,69427
4151936099,1023,1,1,1,0,1,0,1,0,3,0,48,21,23,11,22,42998,37032,442,55,11.0,109,6,12574,31877
3695805540,1566,0,0,0,0,0,0,0,0,0,0,57,14,23,28,35,71312,46394,555,67,13.4,109,4,38497,14062
4189160590,1507,1,0,1,1,1,1,1,1,10,2,74,26,30,19,58,80539,53245,538,66,13.2,144,8,28484,68255
4196500629,1432,0,1,1,0,1,0,1,0,4,0,58,18,12,25,12,53760,40216,513,58,11.6,125,3,12775,43313
4183917775,990,0,0,0,0,0,0,0,0,1,0,0,0,41,39,112,99385,52389,196,77,15.4,0,13,33843,2381
4214326496,935,0,0,0,0,0,0,0,0,0,0,26,1,6,15,9,24594,22082,294,41,8.2,74,2,13973,6436
4118381795,1304,0,0,1,0,0,0,0,0,1,0,50,14,13,40,12,60808,35205,433,54,10.8,134,2,16709,9548
4079060210,1253,1,1,1,0,0,1,1,0,5,1,63,24,25,12,41,58710,44478,465,59,11.8,136,6,18482,33656
4114711798,1386,0,0,0,0,0,0,0,0,0,0,66,21,14,31,16,44151,37640,523,58,11.6,79,3,16647,13711
4105798911,1475,1,0,1,0,1,1,3,0,10,2,48,31,35,17,50,83384,53964,573,69,13.8,189,5,68007,51615
4044981507,1490,0,0,1,0,0,0,0,0,3,0,54,10,31,32,46,72460,49675,472,65,13.0,120,7,17833,28324
4101080351,2265,1,1,1,0,0,1,2,1,10,2,104,49,31,18,57,108788,72618,861,83,16.6,258,6,35827,108151
4133586221,1335,0,1,0,0,0,0,0,0,1,0,0,0,48,72,104,158097,67611,247,90,18.0,0,10,24708,2189
4122051890,1054,1,1,1,0,1,1,2,0,9,3,55,0,81,50,103,163670,84205,374,81,16.2,58,19,23009,42586
4149314875,1522,1,1,1,1,0,1,1,1,7,1,64,36,26,18,40,59059,51855,576,69,13.8,184,5,20783,69239
4158227777,1293,1,0,1,0,1,1,2,0,7,1,46,17,28,10,43,53391,43996,515,62,12.4,114,7,21326,46645
4070147397,911,1,1,1,0,0,0,0,0,6,0,32,9,22,5,26,35906,34619,396,50,10.0,71,4,16420,27627
4147217752,1366,0,0,1,0,1,0,1,0,6,1,54,8,53,71,54,190873,95263,539,106,21.2,86,14,50847,34961
4204889456,1069,0,1,0,0,0,0,0,0,1,0,0,0,33,46,78,80206,53874,175,78,15.6,0,8,27772,3212
4118381943,1694,1,1,1,0,1,1,3,0,10,2,52,27,30,14,69,89152,58613,697,72,14.4,157,8,59561,64751
4129392056,1635,0,1,1,0,0,1,0,0,5,1,86,33,19,32,25,54554,51218,627,66,13.2,168,5,8656,30031
3969484276,1418,1,1,1,1,1,1,1,1,7,1,77,21,16,13,38,54069,47812,599,65,13.0,145,3,27258,55830
3842606603,1532,1,1,0,1,1,1,1,1,7,1,88,27,27,23,45,83889,53932,582,72,14.4,107,7,22926,59195
4107896375,1945,1,0,0,1,0,1,3,2,11,3,76,44,30,24,54,81768,67643,761,83,16.6,257,3,27092,78998
4085876288,2016,0,1,1,0,0,0,0,0,2,0,69,37,15,16,21,78079,53187,783,72,14.4,158,3,29444,24382
4080633420,1200,0,1,0,0,0,0,0,0,0,0,31,10,11,24,14,40975,32077,479,53,10.6,74,2,9885,11083
4067526323,863,0,0,0,0,0,0,0,0,0,0,25,5,3,17,4,15233,18136,252,36,7.2,52,0,5687,795
4107896514,911,0,0,1,0,1,1,1,0,6,1,44,0,46,30,50,86353,62383,321,70,14.0,86,6,22771,30831
